session	participant	TrialNumber	circleRadius	direction	ran	order	probeInitialRadius	responseRadius	respError	respTime
001	Nobody	1	8	-1	1.0	0.0	11.833263	5.833263214543795	-2.166736785456205	5.475110207917169
001	Nobody	2	3	-1	1.0	1.0	16.836952	9.836951378584903	6.836951378584903	12.185848916997202
001	Nobody	3	18	1	1.0	2.0	12.063779	8.063778473077415	-9.936221526922585	11.144835832994431
001	Nobody	4	8	1	0.0	--	--	--	--	--
001	Nobody	5	18	-1	0.0	--	--	--	--	--
001	Nobody	6	13	-1	0.0	--	--	--	--	--
001	Nobody	7	13	1	0.0	--	--	--	--	--
001	Nobody	8	3	1	0.0	--	--	--	--	--
001	Nobody	9	18	1	0.0	--	--	--	--	--
001	Nobody	10	8	-1	0.0	--	--	--	--	--
001	Nobody	11	3	1	0.0	--	--	--	--	--
001	Nobody	12	18	-1	0.0	--	--	--	--	--
001	Nobody	13	13	-1	0.0	--	--	--	--	--
001	Nobody	14	8	1	0.0	--	--	--	--	--
001	Nobody	15	13	1	0.0	--	--	--	--	--
001	Nobody	16	3	-1	0.0	--	--	--	--	--
001	Nobody	17	13	-1	0.0	--	--	--	--	--
001	Nobody	18	8	-1	0.0	--	--	--	--	--
001	Nobody	19	8	1	0.0	--	--	--	--	--
001	Nobody	20	18	-1	0.0	--	--	--	--	--
001	Nobody	21	18	1	0.0	--	--	--	--	--
001	Nobody	22	13	1	0.0	--	--	--	--	--
001	Nobody	23	3	1	0.0	--	--	--	--	--
001	Nobody	24	3	-1	0.0	--	--	--	--	--
001	Nobody	25	13	-1	0.0	--	--	--	--	--
001	Nobody	26	8	1	0.0	--	--	--	--	--
001	Nobody	27	18	1	0.0	--	--	--	--	--
001	Nobody	28	18	-1	0.0	--	--	--	--	--
001	Nobody	29	13	1	0.0	--	--	--	--	--
001	Nobody	30	8	-1	0.0	--	--	--	--	--
001	Nobody	31	3	1	0.0	--	--	--	--	--
001	Nobody	32	3	-1	0.0	--	--	--	--	--
001	Nobody	33	8	1	0.0	--	--	--	--	--
001	Nobody	34	18	1	0.0	--	--	--	--	--
001	Nobody	35	13	-1	0.0	--	--	--	--	--
001	Nobody	36	3	-1	0.0	--	--	--	--	--
001	Nobody	37	18	-1	0.0	--	--	--	--	--
001	Nobody	38	8	-1	0.0	--	--	--	--	--
001	Nobody	39	3	1	0.0	--	--	--	--	--
001	Nobody	40	13	1	0.0	--	--	--	--	--
001	Nobody	41	18	-1	0.0	--	--	--	--	--
001	Nobody	42	13	1	0.0	--	--	--	--	--
001	Nobody	43	3	-1	0.0	--	--	--	--	--
001	Nobody	44	13	-1	0.0	--	--	--	--	--
001	Nobody	45	8	-1	0.0	--	--	--	--	--
001	Nobody	46	8	1	0.0	--	--	--	--	--
001	Nobody	47	18	1	0.0	--	--	--	--	--
001	Nobody	48	3	1	0.0	--	--	--	--	--
001	Nobody	49	18	-1	0.0	--	--	--	--	--
001	Nobody	50	13	-1	0.0	--	--	--	--	--
001	Nobody	51	8	1	0.0	--	--	--	--	--
001	Nobody	52	8	-1	0.0	--	--	--	--	--
001	Nobody	53	3	-1	0.0	--	--	--	--	--
001	Nobody	54	18	1	0.0	--	--	--	--	--
001	Nobody	55	3	1	0.0	--	--	--	--	--
001	Nobody	56	13	1	0.0	--	--	--	--	--
001	Nobody	57	13	1	0.0	--	--	--	--	--
001	Nobody	58	13	-1	0.0	--	--	--	--	--
001	Nobody	59	3	-1	0.0	--	--	--	--	--
001	Nobody	60	3	1	0.0	--	--	--	--	--
001	Nobody	61	18	1	0.0	--	--	--	--	--
001	Nobody	62	18	-1	0.0	--	--	--	--	--
001	Nobody	63	8	-1	0.0	--	--	--	--	--
001	Nobody	64	8	1	0.0	--	--	--	--	--
001	Nobody	65	13	-1	0.0	--	--	--	--	--
001	Nobody	66	3	-1	0.0	--	--	--	--	--
001	Nobody	67	3	1	0.0	--	--	--	--	--
001	Nobody	68	13	1	0.0	--	--	--	--	--
001	Nobody	69	18	-1	0.0	--	--	--	--	--
001	Nobody	70	8	-1	0.0	--	--	--	--	--
001	Nobody	71	18	1	0.0	--	--	--	--	--
001	Nobody	72	8	1	0.0	--	--	--	--	--
001	Nobody	73	18	1	0.0	--	--	--	--	--
001	Nobody	74	13	-1	0.0	--	--	--	--	--
001	Nobody	75	3	1	0.0	--	--	--	--	--
001	Nobody	76	18	-1	0.0	--	--	--	--	--
001	Nobody	77	8	1	0.0	--	--	--	--	--
001	Nobody	78	13	1	0.0	--	--	--	--	--
001	Nobody	79	8	-1	0.0	--	--	--	--	--
001	Nobody	80	3	-1	0.0	--	--	--	--	--
