session	participant	TrialNumber	circleRadius	direction	ran	order	RT	choice	probeInitialRadius	dummy	responseRadius	respError
001	Nobody	1	3	-1	1.0	0.0	0.8306823	1.0	21.385279	0.8306823	18.38527845050254	15.38527845050254
001	Nobody	2	8	1	1.0	1.0	0.66894627	0.0	4.156853	0.66894627	2.1568531837024434	-5.843146816297557
001	Nobody	3	18	-1	1.0	2.0	0.693845	1.0	13.898012	0.693845	13.898012341670038	-4.101987658329962
001	Nobody	4	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	5	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	6	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	7	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	8	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	9	18	-1	0.0	--	--	--	--	--	--	--
001	Nobody	10	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	11	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	12	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	13	3	-1	0.0	--	--	--	--	--	--	--
001	Nobody	14	8	1	0.0	--	--	--	--	--	--	--
001	Nobody	15	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	16	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	17	3	-1	0.0	--	--	--	--	--	--	--
001	Nobody	18	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	19	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	20	18	-1	0.0	--	--	--	--	--	--	--
001	Nobody	21	8	1	0.0	--	--	--	--	--	--	--
001	Nobody	22	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	23	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	24	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	25	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	26	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	27	18	-1	0.0	--	--	--	--	--	--	--
001	Nobody	28	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	29	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	30	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	31	3	-1	0.0	--	--	--	--	--	--	--
001	Nobody	32	8	1	0.0	--	--	--	--	--	--	--
001	Nobody	33	3	-1	0.0	--	--	--	--	--	--	--
001	Nobody	34	8	1	0.0	--	--	--	--	--	--	--
001	Nobody	35	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	36	18	-1	0.0	--	--	--	--	--	--	--
001	Nobody	37	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	38	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	39	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	40	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	41	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	42	8	1	0.0	--	--	--	--	--	--	--
001	Nobody	43	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	44	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	45	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	46	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	47	18	-1	0.0	--	--	--	--	--	--	--
001	Nobody	48	3	-1	0.0	--	--	--	--	--	--	--
001	Nobody	49	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	50	3	-1	0.0	--	--	--	--	--	--	--
001	Nobody	51	8	1	0.0	--	--	--	--	--	--	--
001	Nobody	52	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	53	18	-1	0.0	--	--	--	--	--	--	--
001	Nobody	54	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	55	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	56	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	57	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	58	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	59	8	1	0.0	--	--	--	--	--	--	--
001	Nobody	60	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	61	3	-1	0.0	--	--	--	--	--	--	--
001	Nobody	62	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	63	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	64	18	-1	0.0	--	--	--	--	--	--	--
001	Nobody	65	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	66	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	67	8	1	0.0	--	--	--	--	--	--	--
001	Nobody	68	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	69	18	-1	0.0	--	--	--	--	--	--	--
001	Nobody	70	3	-1	0.0	--	--	--	--	--	--	--
001	Nobody	71	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	72	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	73	18	1	0.0	--	--	--	--	--	--	--
001	Nobody	74	13	-1	0.0	--	--	--	--	--	--	--
001	Nobody	75	8	-1	0.0	--	--	--	--	--	--	--
001	Nobody	76	13	1	0.0	--	--	--	--	--	--	--
001	Nobody	77	3	-1	0.0	--	--	--	--	--	--	--
001	Nobody	78	3	1	0.0	--	--	--	--	--	--	--
001	Nobody	79	18	-1	0.0	--	--	--	--	--	--	--
001	Nobody	80	8	1	0.0	--	--	--	--	--	--	--
