circleRadius	direction	n	RT_mean	RT_raw										RT_std	choice_mean	choice_raw										choice_std	order									
3	-1	10.0	0.3983225107192993	0.467850923538208	 0.3702777326107025	 0.12413659691810608	 0.5615609884262085	 0.7343670129776001	 0.4294590353965759	 0.07414478808641434	 0.3460671901702881	 0.7037798762321472	 0.17158082127571106	0.229462809046902	0.6	1.0	 1.0	 0.0	 1.0	 1.0	 1.0	 0.0	 1.0	 0.0	 0.0	0.5163977794943223	0.0	 10.0	 17.0	 28.0	 34.0	 47.0	 53.0	 58.0	 67.0	 73.0
3	1	10.0	0.41455535888671874	0.34137555956840515	 0.2660066783428192	 0.04646924138069153	 0.599163293838501	 0.0920916497707367	 0.6119019389152527	 0.2611515522003174	 0.44911444187164307	 0.4844866991043091	 0.9937925934791565	0.27989109267292217	0.6	1.0	 0.0	 0.0	 0.0	 1.0	 1.0	 1.0	 1.0	 0.0	 1.0	0.5163977794943223	2.0	 13.0	 16.0	 29.0	 37.0	 45.0	 55.0	 59.0	 69.0	 77.0
8	-1	10.0	0.6364103794097901	0.9355382919311523	 0.7944369912147522	 0.6620714664459229	 0.8834954500198364	 0.8483823537826538	 0.6424204111099243	 0.22241470217704773	 0.30702266097068787	 0.8921945095062256	 0.17612673342227936	0.29407159479612344	0.6	1.0	 0.0	 0.0	 1.0	 1.0	 0.0	 1.0	 1.0	 0.0	 1.0	0.5163977794943223	7.0	 15.0	 21.0	 27.0	 39.0	 46.0	 49.0	 62.0	 65.0	 78.0
8	1	10.0	0.48616805076599123	0.045984454452991486	 0.06926626712083817	 0.12826955318450928	 0.23105497658252716	 0.8218908309936523	 0.7293168306350708	 0.8658878207206726	 0.5634133815765381	 0.680297315120697	 0.7262991070747375	0.3296592290170275	0.4	0.0	 1.0	 0.0	 0.0	 1.0	 0.0	 1.0	 1.0	 0.0	 0.0	0.5163977794943223	1.0	 11.0	 22.0	 26.0	 35.0	 43.0	 51.0	 63.0	 66.0	 72.0
13	-1	10.0	0.45557551383972167	0.07305018603801727	 0.863262414932251	 0.327153742313385	 0.693019449710846	 0.3453591465950012	 0.6001380085945129	 0.04764741659164429	 0.5909367799758911	 0.7056605219841003	 0.3095274865627289	0.27629543664125095	0.5	1.0	 0.0	 0.0	 1.0	 1.0	 1.0	 0.0	 1.0	 0.0	 0.0	0.5270462766947299	6.0	 8.0	 23.0	 25.0	 33.0	 42.0	 50.0	 61.0	 68.0	 76.0
13	1	10.0	0.388798189163208	0.6720570921897888	 0.0921226292848587	 0.43447253108024597	 0.4978783130645752	 0.14354358613491058	 0.4176539182662964	 0.933616042137146	 0.013116207905113697	 0.638615608215332	 0.044906020164489746	0.3094534782919955	0.6	1.0	 1.0	 0.0	 1.0	 1.0	 0.0	 0.0	 1.0	 1.0	 0.0	0.5163977794943223	4.0	 12.0	 20.0	 30.0	 36.0	 41.0	 48.0	 57.0	 64.0	 75.0
18	-1	10.0	0.49798059463500977	0.7313077449798584	 0.7215221524238586	 0.4874427914619446	 0.004386688582599163	 0.8924310207366943	 0.5242506861686707	 0.5925970673561096	 0.3557892441749573	 0.3823118805885315	 0.2877670228481293	0.2562939473694415	0.3	1.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	0.4830458915396479	3.0	 14.0	 18.0	 31.0	 38.0	 44.0	 54.0	 56.0	 71.0	 79.0
18	1	10.0	0.5016839504241943	0.8069344758987427	 0.13292428851127625	 0.5761258602142334	 0.2975408732891083	 0.6672184467315674	 0.40139657258987427	 0.03064531274139881	 0.8857268691062927	 0.7257285118103027	 0.4925979971885681	0.28547848229194855	0.5	0.0	 1.0	 0.0	 0.0	 1.0	 1.0	 0.0	 1.0	 1.0	 0.0	0.5270462766947299	5.0	 9.0	 19.0	 24.0	 32.0	 40.0	 52.0	 60.0	 70.0	 74.0

extraInfo
participant	Nobody
session	001
﻿session	participant	TrialNumber	circleRadius	direction	ran	order	RT	choice
001	Nobody	1	3	-1	1.0	0.0	0.46785092	1.0
001	Nobody	2	8	1	1.0	1.0	0.045984454	0.0
001	Nobody	3	3	1	1.0	2.0	0.34137556	1.0
001	Nobody	4	18	-1	1.0	3.0	0.73130774	1.0
001	Nobody	5	13	1	1.0	4.0	0.6720571	1.0
001	Nobody	6	18	1	1.0	5.0	0.8069345	0.0
001	Nobody	7	13	-1	1.0	6.0	0.073050186	1.0
001	Nobody	8	8	-1	1.0	7.0	0.9355383	1.0
001	Nobody	9	13	-1	1.0	8.0	0.8632624	0.0
001	Nobody	10	18	1	1.0	9.0	0.13292429	1.0
001	Nobody	11	3	-1	1.0	10.0	0.37027773	1.0
001	Nobody	12	8	1	1.0	11.0	0.06926627	1.0
001	Nobody	13	13	1	1.0	12.0	0.09212263	1.0
001	Nobody	14	3	1	1.0	13.0	0.26600668	0.0
001	Nobody	15	18	-1	1.0	14.0	0.72152215	0.0
001	Nobody	16	8	-1	1.0	15.0	0.794437	0.0
001	Nobody	17	3	1	1.0	16.0	0.04646924	0.0
001	Nobody	18	3	-1	1.0	17.0	0.1241366	0.0
001	Nobody	19	18	-1	1.0	18.0	0.4874428	0.0
001	Nobody	20	18	1	1.0	19.0	0.57612586	0.0
001	Nobody	21	13	1	1.0	20.0	0.43447253	0.0
001	Nobody	22	8	-1	1.0	21.0	0.66207147	0.0
001	Nobody	23	8	1	1.0	22.0	0.12826955	0.0
001	Nobody	24	13	-1	1.0	23.0	0.32715374	0.0
001	Nobody	25	18	1	1.0	24.0	0.29754087	0.0
001	Nobody	26	13	-1	1.0	25.0	0.69301945	1.0
001	Nobody	27	8	1	1.0	26.0	0.23105498	0.0
001	Nobody	28	8	-1	1.0	27.0	0.88349545	1.0
001	Nobody	29	3	-1	1.0	28.0	0.561561	1.0
001	Nobody	30	3	1	1.0	29.0	0.5991633	0.0
001	Nobody	31	13	1	1.0	30.0	0.4978783	1.0
001	Nobody	32	18	-1	1.0	31.0	0.0043866886	1.0
001	Nobody	33	18	1	1.0	32.0	0.66721845	1.0
001	Nobody	34	13	-1	1.0	33.0	0.34535915	1.0
001	Nobody	35	3	-1	1.0	34.0	0.734367	1.0
001	Nobody	36	8	1	1.0	35.0	0.82189083	1.0
001	Nobody	37	13	1	1.0	36.0	0.14354359	1.0
001	Nobody	38	3	1	1.0	37.0	0.09209165	1.0
001	Nobody	39	18	-1	1.0	38.0	0.892431	0.0
001	Nobody	40	8	-1	1.0	39.0	0.84838235	1.0
001	Nobody	41	18	1	1.0	40.0	0.40139657	1.0
001	Nobody	42	13	1	1.0	41.0	0.41765392	0.0
001	Nobody	43	13	-1	1.0	42.0	0.600138	1.0
001	Nobody	44	8	1	1.0	43.0	0.72931683	0.0
001	Nobody	45	18	-1	1.0	44.0	0.5242507	0.0
001	Nobody	46	3	1	1.0	45.0	0.61190194	1.0
001	Nobody	47	8	-1	1.0	46.0	0.6424204	0.0
001	Nobody	48	3	-1	1.0	47.0	0.42945904	1.0
001	Nobody	49	13	1	1.0	48.0	0.93361604	0.0
001	Nobody	50	8	-1	1.0	49.0	0.2224147	1.0
001	Nobody	51	13	-1	1.0	50.0	0.047647417	0.0
001	Nobody	52	8	1	1.0	51.0	0.8658878	1.0
001	Nobody	53	18	1	1.0	52.0	0.030645313	0.0
001	Nobody	54	3	-1	1.0	53.0	0.07414479	0.0
001	Nobody	55	18	-1	1.0	54.0	0.59259707	0.0
001	Nobody	56	3	1	1.0	55.0	0.26115155	1.0
001	Nobody	57	18	-1	1.0	56.0	0.35578924	1.0
001	Nobody	58	13	1	1.0	57.0	0.013116208	1.0
001	Nobody	59	3	-1	1.0	58.0	0.3460672	1.0
001	Nobody	60	3	1	1.0	59.0	0.44911444	1.0
001	Nobody	61	18	1	1.0	60.0	0.88572687	1.0
001	Nobody	62	13	-1	1.0	61.0	0.5909368	1.0
001	Nobody	63	8	-1	1.0	62.0	0.30702266	1.0
