session	participant	TrialNumber	circleRadius	direction	ran	order	probeInitialRadius	responseRadius	respError	RT
001	Nobody	1	3	-1	1.0	0.0	6.0839133	10.083913231475078	7.083913231475078	4.164662000024691
001	Nobody	2	13	1	1.0	1.0	11.952064	15.952063445272318	2.9520634452723176	1.4792034170823172
001	Nobody	3	13	-1	1.0	2.0	8.461246	9.461245762428574	-3.5387542375714265	19.282388625084423
001	Nobody	4	18	1	1.0	3.0	18.493765	21.493764514013506	3.493764514013506	0.8820314579643309
001	Nobody	5	18	-1	1.0	4.0	15.423847	11.423846810173096	-6.576153189826904	1.6155612090369686
001	Nobody	6	8	1	1.0	5.0	10.247946	52	44	10.160086791962385
001	Nobody	7	3	1	0.0	--	--	--	--	--
001	Nobody	8	8	-1	0.0	--	--	--	--	--
001	Nobody	9	13	1	0.0	--	--	--	--	--
001	Nobody	10	3	-1	0.0	--	--	--	--	--
001	Nobody	11	13	-1	0.0	--	--	--	--	--
001	Nobody	12	18	1	0.0	--	--	--	--	--
001	Nobody	13	8	-1	0.0	--	--	--	--	--
001	Nobody	14	3	1	0.0	--	--	--	--	--
001	Nobody	15	18	-1	0.0	--	--	--	--	--
001	Nobody	16	8	1	0.0	--	--	--	--	--
001	Nobody	17	8	1	0.0	--	--	--	--	--
001	Nobody	18	18	1	0.0	--	--	--	--	--
001	Nobody	19	13	1	0.0	--	--	--	--	--
001	Nobody	20	13	-1	0.0	--	--	--	--	--
001	Nobody	21	3	1	0.0	--	--	--	--	--
001	Nobody	22	8	-1	0.0	--	--	--	--	--
001	Nobody	23	18	-1	0.0	--	--	--	--	--
001	Nobody	24	3	-1	0.0	--	--	--	--	--
001	Nobody	25	13	-1	0.0	--	--	--	--	--
001	Nobody	26	18	-1	0.0	--	--	--	--	--
001	Nobody	27	3	-1	0.0	--	--	--	--	--
001	Nobody	28	8	-1	0.0	--	--	--	--	--
001	Nobody	29	8	1	0.0	--	--	--	--	--
001	Nobody	30	3	1	0.0	--	--	--	--	--
001	Nobody	31	18	1	0.0	--	--	--	--	--
001	Nobody	32	13	1	0.0	--	--	--	--	--
001	Nobody	33	13	-1	0.0	--	--	--	--	--
001	Nobody	34	8	-1	0.0	--	--	--	--	--
001	Nobody	35	8	1	0.0	--	--	--	--	--
001	Nobody	36	18	1	0.0	--	--	--	--	--
001	Nobody	37	3	1	0.0	--	--	--	--	--
001	Nobody	38	18	-1	0.0	--	--	--	--	--
001	Nobody	39	3	-1	0.0	--	--	--	--	--
001	Nobody	40	13	1	0.0	--	--	--	--	--
001	Nobody	41	18	-1	0.0	--	--	--	--	--
001	Nobody	42	8	-1	0.0	--	--	--	--	--
001	Nobody	43	13	1	0.0	--	--	--	--	--
001	Nobody	44	3	1	0.0	--	--	--	--	--
001	Nobody	45	3	-1	0.0	--	--	--	--	--
001	Nobody	46	13	-1	0.0	--	--	--	--	--
001	Nobody	47	18	1	0.0	--	--	--	--	--
001	Nobody	48	8	1	0.0	--	--	--	--	--
001	Nobody	49	8	1	0.0	--	--	--	--	--
001	Nobody	50	8	-1	0.0	--	--	--	--	--
001	Nobody	51	3	1	0.0	--	--	--	--	--
001	Nobody	52	18	1	0.0	--	--	--	--	--
001	Nobody	53	3	-1	0.0	--	--	--	--	--
001	Nobody	54	18	-1	0.0	--	--	--	--	--
001	Nobody	55	13	1	0.0	--	--	--	--	--
001	Nobody	56	13	-1	0.0	--	--	--	--	--
001	Nobody	57	18	-1	0.0	--	--	--	--	--
001	Nobody	58	3	1	0.0	--	--	--	--	--
001	Nobody	59	18	1	0.0	--	--	--	--	--
001	Nobody	60	13	-1	0.0	--	--	--	--	--
001	Nobody	61	13	1	0.0	--	--	--	--	--
001	Nobody	62	8	-1	0.0	--	--	--	--	--
001	Nobody	63	8	1	0.0	--	--	--	--	--
001	Nobody	64	3	-1	0.0	--	--	--	--	--
001	Nobody	65	18	1	0.0	--	--	--	--	--
001	Nobody	66	13	1	0.0	--	--	--	--	--
001	Nobody	67	13	-1	0.0	--	--	--	--	--
001	Nobody	68	8	-1	0.0	--	--	--	--	--
001	Nobody	69	3	1	0.0	--	--	--	--	--
001	Nobody	70	8	1	0.0	--	--	--	--	--
001	Nobody	71	3	-1	0.0	--	--	--	--	--
001	Nobody	72	18	-1	0.0	--	--	--	--	--
001	Nobody	73	18	1	0.0	--	--	--	--	--
001	Nobody	74	13	-1	0.0	--	--	--	--	--
001	Nobody	75	8	-1	0.0	--	--	--	--	--
001	Nobody	76	18	-1	0.0	--	--	--	--	--
001	Nobody	77	13	1	0.0	--	--	--	--	--
001	Nobody	78	8	1	0.0	--	--	--	--	--
001	Nobody	79	3	-1	0.0	--	--	--	--	--
001	Nobody	80	3	1	0.0	--	--	--	--	--
